time,pos,speed,power
21,19,1422,255
31,67,4577,255
41,128,5970,255
51,190,6610,255
61,263,7120,255
71,337,7252,255
81,413,7427,255
91,490,7513,255
101,560,7588,255
111,639,7693,255
121,717,7605,255
131,796,7738,255
141,867,7683,255
151,946,7646,255
161,1025,7781,255
171,1104,7649,255
181,1175,7781,255
191,1254,7738,255
201,1333,7693,255
212,1412,7735,255
221,1492,7781,255
231,1563,7734,255
241,1643,7693,255
251,1721,7735,255
261,1801,7785,255
271,1872,7734,255
281,1952,7690,255
291,2031,7824,255
301,2110,7693,255
311,2182,7730,255
321,2261,7824,255
331,2340,7693,255
341,2420,7824,255
351,2491,7683,255
361,2571,7833,255
371,2651,7684,255
382,2730,7735,255
391,2809,7824,255
401,2881,7781,255
411,2960,7735,255
421,3040,7693,255
431,3119,7735,255
441,3190,7781,255
451,3269,7735,255
461,3348,7735,255
471,3428,7693,255
481,3499,7781,255
491,3578,7735,255
501,3657,7693,255
511,3736,7735,255
521,3807,7730,255
531,3886,7693,255
541,3965,7735,255
551,4045,7781,255
561,4124,7646,255
571,4195,7781,255
581,4274,7735,255
591,4354,7781,255
601,4433,7735,255
611,4505,7785,255
621,4584,7735,255
631,4663,7735,255
641,4743,7781,255
651,4814,7734,255
661,4894,7778,255
671,4973,7735,255
681,5053,7781,255
691,5124,7734,255
701,5203,7732,255
711,5283,7781,255
721,5362,7735,255
731,5442,7781,255
741,5513,7734,255
751,5593,7778,255
761,5672,7735,255
771,5751,7738,255
781,5823,7781,255
791,5903,7735,255
801,5982,7781,255
811,6062,7824,255
821,6133,7734,255
831,6213,7778,255
841,6292,7738,255
852,6372,7778,255
861,6451,7738,255
871,6523,7781,255
881,6603,7735,255
891,6682,7833,255
901,6761,7684,255
911,6833,7832,255
921,6912,7693,255
931,6991,7735,255
941,7071,7781,255
951,7142,7730,255
961,7221,7693,255
971,7300,7735,255
981,7379,7693,255
991,7451,7734,255
1001,7530,7778,255
1011,7609,7735,192
1022,7688,7720,192
1031,7767,7693,192
1041,7837,7635,192
1051,7914,7516,192
1061,7991,7427,192
1071,8067,7475,192
1081,8135,7288,192
1091,8209,7341,192
1101,8284,7295,192
1111,8359,7252,192
1121,8425,7343,192
1131,8499,7159,192
1141,8574,7298,192
1151,8647,7159,192
1161,8714,7244,192
1171,8788,7209,192
1181,8861,7159,192
1191,8935,7209,192
1201,9008,7162,192
1211,9075,7254,192
1221,9148,7112,192
1231,9222,7209,192
1241,9295,7162,192
1251,9361,7145,192
1261,9435,7249,192
1271,9509,7209,192
1281,9582,7123,192
1291,9648,7189,192
1301,9722,7209,192
1311,9796,7212,192
1321,9869,7159,192
1331,9936,7244,192
1341,10010,7209,192
1351,10083,7162,192
1361,10157,7209,192
1371,10231,7218,192
1381,10296,7183,192
1391,10370,7120,192
1401,10444,7209,192
1411,10517,7162,192
1421,10583,7145,192
1431,10656,7206,192
1441,10730,7120,192
1451,10803,7162,192
1461,10869,7145,192
1471,10942,7120,192
1481,11015,7159,192
1492,11088,7120,192
1501,11161,7209,192
1511,11228,7148,192
1521,11301,7162,192
1531,11374,7120,192
1541,11448,7209,192
1551,11514,7145,192
1561,11587,7159,192
1571,11661,7209,192
1581,11734,7162,192
1591,11800,7145,192
1601,11874,7209,192
1611,11947,7120,192
1621,12020,7252,192
1631,12087,7145,192
1641,12160,7120,192
1651,12233,7159,192
1662,12307,7209,192
1671,12381,7209,192
1681,12447,7192,192
1691,12520,7123,192
1701,12594,7206,192
1711,12667,7162,192
1721,12734,7244,192
1731,12807,7120,192
1741,12881,7249,192
1751,12955,7120,192
1761,13021,7247,192
1771,13094,7159,192
1781,13168,7209,192
1791,13242,7209,192
1801,13308,7192,192
1811,13382,7212,192
1821,13456,7209,192
1831,13529,7162,192
1841,13603,7206,192
1851,13669,7192,192
1861,13743,7209,192
1871,13817,7212,192
1881,13891,7249,192
1891,13957,7148,192
1901,14031,7209,192
1911,14104,7159,192
1921,14178,7209,192
1931,14244,7148,192
1941,14317,7159,192
1951,14390,7120,192
1961,14463,7218,192
1971,14529,7040,192
1981,14602,7159,192
1991,14676,7209,192
2001,14749,7123,192
2011,14823,7120,192
2021,14888,7192,128
2031,14961,7106,128
2041,15034,7120,128
2051,15105,6941,128
2061,15169,6950,128
2071,15239,6851,128
2081,15309,6814,128
2091,15378,6761,128
2101,15440,6709,128
2111,15509,6725,128
2121,15577,6635,128
2132,15645,6674,128
2141,15713,6635,128
2151,15773,6610,128
2161,15841,6545,128
2171,15908,6548,128
2181,15975,6545,128
2191,16035,6510,128
2201,16102,6545,128
2211,16169,6509,128
2221,16235,6555,128
2231,16295,6399,128
2241,16361,6548,128
2251,16428,6457,128
2261,16495,6509,128
2271,16554,6410,128
2281,16621,6545,128
2291,16687,6457,128
2302,16753,6457,128
2311,16820,6509,128
2321,16880,6510,128
2331,16946,6457,128
2341,17012,6545,128
2351,17079,6457,128
2361,17139,6510,128
2371,17205,6509,128
2381,17272,6457,128
2391,17338,6457,128
2401,17398,6510,128
2411,17464,6457,128
2421,17531,6545,128
2431,17597,6422,128
2441,17657,6510,128
2451,17723,6455,128
2461,17789,6457,128
2471,17855,6422,128
2481,17921,6457,128
2491,17980,6410,128
2501,18046,6420,128
2511,18111,6457,128
2521,18177,6420,128
2531,18236,6410,128
2541,18302,6367,128
2551,18367,6457,128
2561,18433,6420,128
2571,18493,6410,128
2581,18559,6422,128
2591,18625,6457,128
2601,18691,6457,128
2611,18750,6410,128
2621,18816,6509,128
2631,18882,6457,128
2641,18948,6455,128
2651,19015,6460,128
2661,19075,6468,128
2671,19141,6457,128
2681,19207,6457,128
2691,19273,6455,128
2701,19333,6510,128
2711,19399,6512,128
2721,19466,6455,128
2731,19532,6457,128
2741,19592,6510,128
2751,19658,6548,128
2761,19725,6420,128
2772,19791,6545,128
2781,19858,6457,128
2791,19918,6510,128
2801,19984,6457,128
2811,20051,6509,128
2821,20117,6548,128
2831,20177,6507,128
2841,20244,6457,128
2851,20311,6548,128
2861,20377,6457,128
2871,20437,6510,128
2881,20504,6545,128
2891,20571,6548,128
2901,20638,6509,128
2911,20698,6510,128
2921,20765,6548,128
2931,20831,6455,128
2942,20898,6548,128
2951,20965,6548,128
2961,21025,6510,128
2971,21092,6509,128
2981,21158,6545,128
2991,21225,6457,128
3001,21285,6510,128
3011,21351,6457,128
3021,21417,6545,128
3031,21484,6422,64
3041,21543,6435,64
3051,21607,6330,64
3061,21671,6152,64
3071,21732,6061,64
3081,21787,5867,64
3091,21847,5847,64
3101,21906,5754,64
3111,21964,5666,64
3121,22021,5575,64
3131,22071,5529,64
3141,22127,5362,64
3151,22181,5392,64
3161,22236,5271,64
3171,22284,5296,64
3181,22337,5179,64
3191,22389,5088,64
3201,22441,5060,64
3211,22488,5093,64
3221,22539,4905,64
3231,22590,4966,64
3241,22640,4903,64
3251,22685,4857,64
3261,22734,4903,64
3271,22783,4785,64
3281,22832,4785,64
3291,22881,4785,64
3301,22925,4757,64
3311,22973,4692,64
3321,23021,4692,64
3331,23069,4667,64
3341,23112,4683,64
3351,23160,4691,64
3361,23208,4575,64
3371,23255,4600,64
3381,23297,4655,64
3391,23344,4598,64
3401,23391,4575,64
3412,23438,4600,64
3421,23485,4579,64
3431,23526,4473,64
3441,23573,4575,64
3451,23620,4573,64
3461,23666,4509,64
3471,23708,4551,64
3481,23754,4483,64
3491,23800,4507,64
3501,23847,4483,64
3511,23888,4553,64
3521,23934,4507,64
3531,23981,4483,64
3541,24027,4600,64
3551,24068,4450,64
3561,24115,4481,64
3571,24161,4573,64
3582,24207,4509,64
3591,24253,4481,64
3601,24295,4450,64
3611,24341,4600,64
3621,24387,4483,64
3631,24433,4507,64
3641,24475,4448,64
3651,24521,4483,64
3661,24567,4483,64
3671,24613,4507,64
3681,24654,4551,64
3691,24700,4483,64
3701,24746,4483,64
3711,24792,4507,64
3721,24833,4450,64
3731,24879,4391,64
3741,24924,4481,64
3751,24969,4415,64
3761,25015,4391,64
3771,25055,4452,64
3781,25101,4389,64
3791,25146,4391,64
3801,25191,4391,64
3811,25231,4450,64
3821,25276,4391,64
3831,25321,4391,64
3841,25366,4391,64
3851,25406,4347,64
3861,25451,4391,64
3871,25496,4391,64
3881,25541,4391,64
3891,25581,4347,64
3901,25626,4391,64
3911,25671,4391,64
3921,25716,4415,64
3931,25761,4391,64
3941,25802,4450,64
3951,25847,4391,64
3961,25892,4391,64
3971,25938,4483,64
3981,25979,4347,64
3991,26024,4507,64
4001,26069,4389,64
4011,26115,4483,64
4021,26156,4450,64
4031,26201,4389,64
4041,26247,4391,48
4052,26292,4499,48
4061,26336,4298,48
4071,26376,4347,48
4081,26420,4298,48
4091,26463,4181,48
4101,26505,4112,48
4111,26543,4116,48
4121,26585,4112,48
4131,26626,3997,48
4141,26667,3997,48
4151,26704,4012,48
4161,26744,3924,48
4171,26784,3883,48
4181,26823,3811,48
4191,26858,3805,48
4201,26897,3811,48
4211,26935,3811,48
4222,26974,3697,48
4231,27012,3718,48
4241,27046,3702,48
4251,27084,3696,48
4261,27121,3624,48
4271,27158,3604,48
4281,27192,3702,48
4291,27229,3604,48
4301,27266,3604,48
4311,27303,3624,48
4321,27336,3576,48
4331,27372,3511,48
4341,27409,3624,48
4351,27445,3511,48
4361,27478,3576,48
4371,27515,3603,48
4381,27551,3530,48
4391,27587,3511,48
4401,27623,3511,48
4411,27656,3597,48
4421,27692,3511,48
4431,27728,3510,48
4441,27764,3511,48
4451,27796,3576,48
4461,27832,3511,48
4471,27868,3436,48
4481,27904,3603,48
4491,27937,3472,48
4501,27973,3511,48
4511,28009,3511,48
4521,28044,3436,48
4531,28076,3470,48
4541,28112,3511,48
4551,28148,3511,48
4561,28183,3510,48
4571,28219,3417,48
4581,28251,3472,48
4591,28287,3417,48
4601,28322,3511,48
4611,28357,3436,48
4621,28389,3451,48
4631,28424,3417,48
4641,28459,3417,48
4651,28493,3324,48
4661,28525,3472,48
4671,28559,3324,48
4681,28594,3417,48
4692,28628,3325,48
4701,28662,3324,48
4711,28693,3347,48
4721,28728,3417,48
4731,28762,3324,48
4741,28796,3324,48
4751,28826,3265,48
4761,28860,3304,48
4771,28894,3324,48
4781,28928,3325,48
4791,28959,3347,48
4801,28992,3230,48
4811,29026,3324,48
4821,29060,3324,48
4831,29090,3243,48
4841,29124,3324,48
4851,29158,3324,48
4862,29192,3324,48
4871,29226,3305,48
4881,29256,3265,48
4891,29290,3324,48
4901,29324,3421,48
4911,29359,3320,48
4921,29390,3347,48
4931,29424,3324,48
4941,29459,3417,48
4951,29493,3324,48
4961,29524,3369,48
4971,29559,3417,48
4981,29594,3417,48
4991,29629,3399,48
5001,29660,3368,48
5011,29695,3417,48
5021,29729,3417,48
5031,29764,3325,48
5041,29799,3417,48
5051,29831,3368,32
5061,29865,3411,32
5071,29899,3324,32
5081,29932,3230,32
5091,29961,3141,32
5101,29993,3118,32
5111,30024,3023,32
5121,30055,3042,32
5131,30082,2930,32
5141,30112,2914,32
5151,30141,2836,32
5161,30170,2836,32
5171,30195,2827,32
5181,30223,2726,32
5191,30251,2632,32
5201,30278,2646,32
5211,30305,2632,32
5221,30328,2495,32
5231,30354,2631,32
5241,30380,2443,32
5251,30405,2537,32
5261,30428,2390,32
5271,30453,2443,32
5281,30477,2429,32
5291,30502,2348,32
5301,30523,2390,32
5311,30547,2348,32
5321,30571,2335,32
5332,30595,2253,32
5341,30618,2240,32
5351,30639,2389,32
5361,30662,2240,32
5371,30685,2253,32
5381,30708,2243,32
5391,30729,2175,32
5401,30751,2239,32
5411,30774,2145,32
5421,30796,2253,32
5431,30817,2164,32
5441,30839,2253,32
5451,30861,2145,32
5461,30884,2145,32
5471,30903,2178,32
5481,30926,2145,32
5491,30948,2145,32
5502,30970,2145,32
5511,30992,2145,32
5521,31012,2177,32
5531,31033,2145,32
5541,31055,2145,32
5551,31077,2158,32
5561,31097,2058,32
5571,31119,2145,32
5581,31141,2145,32
5591,31163,2145,32
5601,31182,2181,32
5611,31204,2048,32
5621,31226,2145,32
5631,31248,2145,32
5641,31268,2177,32
5651,31289,2145,32
5661,31311,2145,32
5671,31333,2145,32
5681,31355,2157,32
5691,31375,2058,32
5701,31397,2145,32
5711,31419,2240,32
5721,31441,2050,32
5731,31461,2178,32
5741,31483,2145,32
5751,31504,2145,32
5761,31526,2145,32
5771,31546,2072,32
5781,31568,2145,32
5791,31589,2145,32
5801,31611,2145,32
5811,31631,2072,32
5821,31652,2145,32
5831,31674,2049,32
5841,31696,2145,32
5851,31717,2145,32
5861,31737,2058,32
5871,31758,2050,32
5881,31779,2158,32
5891,31801,2050,32
5901,31820,2165,32
5911,31841,2050,32
5921,31863,2050,32
5931,31884,2051,32
5941,31903,2059,32
5951,31924,2050,32
5961,31945,2050,32
5972,31966,2051,32
5981,31987,2050,32
5991,32005,2059,32
6001,32026,2050,32
6011,32047,1956,32
6021,32068,2051,32
6031,32086,2058,32
6041,32107,1955,32
6051,32127,2039,32
6061,32147,1955,28
6071,32165,1961,28
6081,32185,1955,28
6091,32205,1849,28
6101,32224,1859,28
6111,32241,1835,28
6121,32260,1858,28
6131,32278,1849,28
6142,32296,1763,28
6151,32315,1754,28
6161,32330,1741,28
6171,32348,1658,28
6181,32365,1753,28
6191,32383,1668,28
6201,32398,1730,28
6211,32415,1658,28
6221,32432,1658,28
6231,32449,1658,28
6241,32464,1633,28
6251,32481,1563,28
6261,32497,1658,28
6271,32514,1658,28
6281,32529,1517,28
6291,32545,1658,28
6301,32562,1658,28
6311,32578,1563,28
6321,32595,1659,28
6331,32610,1526,28
6341,32626,1658,28
6351,32642,1563,28
6361,32659,1563,28
6371,32673,1623,28
6381,32690,1563,28
6391,32706,1658,28
6401,32723,1563,28
6411,32737,1624,28
6421,32754,1563,28
6431,32770,1658,28
6441,32787,1563,28
6451,32802,1624,28
6461,32818,1658,28
6471,32835,1563,28
6481,32851,1659,28
6491,32868,1563,28
6501,32883,1741,28
6511,32900,1563,28
6521,32916,1659,28
6531,32933,1658,28
6541,32948,1623,28
6551,32965,1658,28
6561,32982,1660,28
6571,32999,1570,28
6581,33014,1730,28
6591,33031,1659,28
6601,33048,1658,28
6612,33065,1658,28
6621,33082,1668,28
6631,33098,1623,28
6641,33115,1658,28
6651,33132,1754,28
6661,33149,1667,28
6671,33165,1623,28
6681,33182,1755,28
6691,33199,1658,28
6701,33217,1668,28
6711,33232,1730,28
6721,33250,1658,28
6731,33267,1763,28
6741,33284,1659,28
6751,33300,1623,28
6761,33317,1754,28
6771,33334,1667,28
6782,33351,1658,28
6791,33369,1658,28
6801,33384,1730,28
6811,33401,1658,28
6821,33419,1668,28
6831,33436,1658,28
6841,33451,1729,28
6851,33468,1659,28
6861,33485,1667,28
6871,33502,1658,28
6881,33518,1730,28
6891,33535,1658,28
6901,33552,1668,28
6911,33570,1658,28
6921,33585,1623,28
6931,33602,1754,28
6941,33619,1658,28
6951,33636,1667,28
6961,33653,1658,28
6971,33669,1730,28
6981,33686,1659,28
6991,33703,1667,28
7001,33721,1658,28
7011,33736,1730,28
7021,33753,1658,28
7031,33771,1667,28
7041,33788,1658,28
7051,33803,1730,28
7061,33820,1659,28
7071,33838,1667,24
7081,33855,1655,24
7091,33870,1623,24
7101,33887,1658,24
7111,33903,1668,24
7121,33919,1563,24
7131,33935,1554,24
7141,33949,1526,24
7151,33965,1459,24
7161,33980,1563,24
7171,33995,1467,24
7181,34009,1517,24
7191,34024,1467,24
7201,34039,1459,24
7211,34053,1371,24
7221,34067,1411,24
7231,34081,1459,24
7241,34096,1370,24
7252,34110,1363,24
7261,34124,1467,24
7271,34137,1304,24
7281,34151,1363,24
7291,34165,1370,24
7301,34179,1363,24
7311,34191,1411,24
7321,34205,1268,24
7331,34219,1370,24
7341,34232,1363,24
7351,34245,1304,24
7361,34259,1363,24
7371,34272,1370,24
7381,34286,1268,24
7391,34298,1411,24
7401,34312,1268,24
7411,34325,1371,24
7422,34339,1363,24
7431,34352,1267,24
7441,34364,1304,24
7451,34378,1370,24
7461,34392,1268,24
7471,34405,1363,24
7481,34417,1304,24
7491,34431,1363,24
7501,34444,1274,24
7511,34458,1268,24
7521,34470,1304,24
7531,34483,1363,24
7541,34497,1363,24
7551,34510,1274,24
7561,34523,1304,24
7571,34536,1363,24
7581,34550,1267,24
7591,34563,1371,24
7601,34577,1363,24
7611,34589,1304,24
7621,34603,1267,24
7631,34616,1371,24
7641,34630,1267,24
7651,34642,1411,24
7661,34655,1267,24
7671,34669,1371,24
7681,34683,1363,24
7691,34695,1304,24
7701,34709,1268,24
7711,34723,1363,24
7721,34736,1371,24
7731,34748,1304,24
7741,34762,1363,24
7751,34776,1267,24
7761,34789,1370,24
7771,34803,1363,24
7781,34816,1304,24
7791,34829,1363,24
7801,34843,1370,24
7811,34857,1363,24
7821,34869,1304,24
7831,34883,1363,24
7841,34897,1370,24
7851,34911,1363,24
7861,34923,1304,24
7871,34937,1371,24
7881,34951,1363,24
7892,34965,1267,24
7901,34979,1371,24
7911,34991,1411,24
7921,35005,1363,24
7931,35019,1370,24
7941,35033,1268,24
7951,35045,1411,24
7961,35059,1363,24
7971,35073,1363,24
7981,35087,1274,24
7991,35099,1411,24
8001,35113,1363,24
8011,35127,1274,24
8021,35141,1363,24
8031,35153,1411,24
8041,35167,1268,24
8051,35180,1371,24
8062,35195,1363,24
8071,35208,1370,20
8081,35220,1302,20
8091,35234,1267,20
8101,35247,1363,20
8111,35260,1171,20
8121,35271,1304,20
8131,35283,1171,20
8141,35295,1171,20
8151,35307,1171,20
8161,35317,1083,20
8171,35329,1178,20
8181,35340,1069,20
8191,35351,1074,20
8201,35361,1083,20
8211,35372,1075,20
8221,35382,978,20
8231,35393,1075,20
8241,35403,973,20
8251,35412,976,20
8261,35422,978,20
8271,35432,978,20
8281,35442,973,20
8291,35451,976,20
8301,35460,881,20
8311,35470,876,20
8321,35479,978,20
8331,35488,970,20
8341,35497,881,20
8351,35507,877,20
8361,35515,881,20
8371,35524,869,20
8381,35532,877,20
8391,35541,876,20
8401,35550,881,20
8411,35559,780,20
8421,35566,868,20
8431,35575,876,20
8441,35584,876,20
8451,35592,784,20
8461,35600,756,20
8471,35608,881,20
8481,35616,780,20
8491,35625,780,20
8501,35632,869,20
8511,35640,780,20
8521,35648,780,20
8532,35656,784,20
8541,35664,780,20
8551,35671,756,20
8561,35679,784,20
8571,35687,780,20
8581,35695,780,20
8591,35702,761,20
8601,35710,683,20
8611,35717,780,20
8621,35725,780,20
8631,35732,761,20
8641,35739,683,20
8651,35747,780,20
8661,35754,683,20
8671,35761,756,20
8681,35768,683,20
8691,35775,683,20
8702,35782,683,20
8711,35789,683,20
8721,35796,761,20
8731,35804,683,20
8741,35811,780,20
8751,35819,683,20
8761,35825,756,20
8771,35832,683,20
8781,35839,683,20
8791,35846,683,20
8801,35853,649,20
8811,35860,785,20
8821,35867,683,20
8831,35874,680,20
8841,35880,653,20
8851,35887,586,20
8861,35893,683,20
8871,35900,683,20
8881,35908,679,20
8891,35914,761,20
8901,35921,683,20
8911,35927,586,20
8921,35934,683,20
8931,35940,649,20
8941,35947,683,20
8951,35955,780,20
8961,35962,586,20
8971,35968,649,20
8981,35974,683,20
8991,35981,683,20
9001,35988,683,20
9011,35995,761,20
9021,36002,683,20
9031,36009,683,20
9041,36016,683,20
9051,36023,683,20
9061,36029,649,20
9071,36037,683,20
9081,36044,780,16
9091,36051,682,16
9101,36057,653,16
9111,36063,586,16
9121,36069,583,16
9131,36075,586,16
9141,36080,541,16
9151,36084,392,16
9161,36091,583,16
9172,36094,391,16
9181,36099,486,16
9191,36102,217,16
9201,36107,583,16
9211,36110,294,16
9221,36115,486,16
9231,36115,0,16
9241,36111,-389,16
9251,36112,97,16
9261,36113,97,16
9271,36111,-217,16
9281,36113,195,16
9291,36112,-98,16
9301,36112,0,16
9311,36112,0,16
9321,36112,0,16
9331,36112,0,16
9342,36112,0,16
9351,36112,0,16
9361,36112,0,16
9371,36112,0,16
9381,36112,0,16
9391,36112,0,16
9401,36112,0,16
9411,36112,0,16
9421,36112,0,16
9431,36112,0,16
9441,36112,0,16
9451,36112,0,16
9461,36112,0,16
9471,36112,0,16
9481,36112,0,16
9491,36112,0,16
9501,36112,0,16
9511,36112,0,16
9521,36112,0,16
9531,36112,0,16
9541,36112,0,16
9551,36112,0,16
9561,36112,0,16
9571,36112,0,16
9581,36112,0,16
9591,36112,0,16
9601,36112,0,16
9611,36112,0,16
9621,36112,0,16
9631,36112,0,16
9641,36112,0,16
9651,36112,0,16
9661,36112,0,16
9671,36112,0,16
9681,36112,0,16
9691,36112,0,16
9701,36112,0,16
9711,36112,0,16
9721,36112,0,16
9731,36112,0,16
9741,36112,0,16
9751,36112,0,16
9761,36112,0,16
9771,36112,0,16
9781,36112,0,16
9791,36112,0,16
9801,36112,0,16
9812,36112,0,16
9821,36112,0,16
9831,36112,0,16
9841,36112,0,16
9851,36112,0,16
9861,36112,0,16
9871,36112,0,16
9881,36112,0,16
9891,36112,0,16
9901,36112,0,16
9911,36112,0,16
9921,36112,0,16
9931,36112,0,16
9941,36112,0,16
9951,36112,0,16
9961,36112,0,16
9971,36112,0,16
9982,36112,0,16
9991,36112,0,16
10001,36112,0,16
10011,36112,0,16
10021,36112,0,16
10031,36112,0,16
10041,36112,0,16
10051,36112,0,16
10061,36112,0,16
10071,36112,0,16
10081,36112,0,16
10091,36112,0,10
10101,36112,0,10
10111,36112,0,10
10121,36112,0,10
10131,36112,0,10
10141,36112,0,10
10151,36112,0,10
10161,36112,0,10
10171,36112,0,10
10181,36112,0,10
10191,36112,0,10
10201,36112,0,10
10211,36112,0,10
10221,36112,0,10
10231,36112,0,10
10241,36112,0,10
10251,36112,0,10
10261,36112,0,10
10271,36112,0,10
10281,36112,0,10
10291,36112,0,10
10301,36112,0,10
10311,36112,0,10
10321,36112,0,10
10331,36112,0,10
10341,36112,0,10
10351,36112,0,10
10361,36112,0,10
10371,36112,0,10
10381,36112,0,10
10391,36112,0,10
10401,36112,0,10
10411,36112,0,10
10421,36112,0,10
10431,36112,0,10
10441,36112,0,10
10452,36112,0,10
10461,36112,0,10
10471,36112,0,10
10481,36112,0,10
